"AgeRange","EducationLevel","LivingSituation","RentBudget","ImportantHousingFactors","AwarenessSemesterLeasing","LikelihoodSemesterHousing","OpennessSubleasing","NeedsMetCurrentHousing","ChallengesCurrentHousing","PreferredFeaturesSemesterLeasing","ImportanceCommunityEvents"
"23-26","Undergraduate","Off-campus apartment/house","Over $1500","Safety, Proximity to campus, Roommate preferences","Somewhat aware","Very likely","Not open","Does not meet my needs","Inadequate amenities, High cost","Roommate matching service, Proximity to campus filter, Community events and networking opportunities, Price range options, Safety ratings","Not very important"
"18-22","Graduate","Off-campus apartment/house","Less than $500","Amenities, Safety, Proximity to campus, Roommate preferences","Very aware","Neutral","Not open","Mostly meets my needs","Inadequate amenities","Safety ratings, Price range options, Roommate matching service","Somewhat important"
"18-22","Undergraduate","Living with family","$500 - $1000","Safety","Somewhat aware","Unlikely","Maybe open","Mostly meets my needs","Distance from campus","Community events and networking opportunities, Price range options, Proximity to campus filter, Roommate matching service","Somewhat important"
"18-22","Undergraduate","Off-campus apartment/house","$500 - $1000","Roommate preferences, Safety, Amenities, Proximity to campus","Very aware","Likely","Maybe open","Mostly meets my needs","Distance from campus","Price range options","Somewhat important"
"18-22","Undergraduate","Living with family","Over $1500","Proximity to campus, Roommate preferences","Somewhat aware","Very unlikely","Neutral","Does not meet my needs","Distance from campus","Price range options, Proximity to campus filter","Not very important"
"18-22","Undergraduate","Living with family","$1001 - $1500","Roommate preferences, Amenities, Proximity to campus","Neutral","Very unlikely","Definitely open","Somewhat meets my needs","Inadequate amenities, High cost, Safety concerns, Distance from campus","Price range options, Roommate matching service, Safety ratings","Somewhat important"
"18-22","Undergraduate","Off-campus apartment/house","$1001 - $1500","Proximity to campus, Roommate preferences, Amenities","Neutral","Likely","Maybe open","Somewhat meets my needs","Distance from campus, Safety concerns","Community events and networking opportunities, Price range options, Proximity to campus filter","Not important at all"
"18-22","Undergraduate","Living with family","Over $1500","Roommate preferences, Safety, Amenities","Not aware","Very likely","Definitely open","Barely meets my needs","Inadequate amenities","Community events and networking opportunities, Roommate matching service, Price range options","Very important"
"18-22","Undergraduate","On-campus housing","$1001 - $1500","Proximity to campus, Safety, Roommate preferences, Amenities","Somewhat aware","Neutral","Definitely open","Mostly meets my needs","Distance from campus, Inadequate amenities","Proximity to campus filter","Not very important"
"23-26","Undergraduate","Living with family","$1001 - $1500","Proximity to campus, Amenities","Very aware","Likely","Neutral","Somewhat meets my needs","Inadequate amenities, Distance from campus, Safety concerns","Price range options, Safety ratings, Roommate matching service, Community events and networking opportunities, Proximity to campus filter","Not important at all"
"23-26","Undergraduate","Off-campus apartment/house","$500 - $1000","Amenities","Neutral","Neutral","Definitely open","Barely meets my needs","Safety concerns, High cost, Distance from campus, Inadequate amenities","Proximity to campus filter, Price range options","Somewhat important"
"18-22","Undergraduate","Off-campus apartment/house","$1001 - $1500","Safety, Amenities, Proximity to campus","Very aware","Very unlikely","Neutral","Mostly meets my needs","Inadequate amenities, Distance from campus","Proximity to campus filter, Community events and networking opportunities, Price range options","Not important at all"
"18-22","Undergraduate","On-campus housing","$1001 - $1500","Proximity to campus, Safety, Amenities","Neutral","Likely","Not open","Barely meets my needs","Safety concerns, Distance from campus, High cost, Inadequate amenities","Price range options, Community events and networking opportunities, Safety ratings","Not important at all"
"18-22","Undergraduate","Off-campus apartment/house","Less than $500","Amenities, Safety, Proximity to campus, Roommate preferences","Neutral","Likely","Definitely open","Does not meet my needs","High cost, Distance from campus, Inadequate amenities","Safety ratings, Roommate matching service","Very important"
"23-26","Graduate","Off-campus apartment/house","$1001 - $1500","Proximity to campus, Roommate preferences, Amenities","Neutral","Very unlikely","Not open","Does not meet my needs","High cost, Distance from campus","Safety ratings, Price range options, Proximity to campus filter, Community events and networking opportunities","Not very important"
"18-22","Graduate","On-campus housing","$1001 - $1500","Amenities","Neutral","Neutral","Not open","Barely meets my needs","Safety concerns, Distance from campus, Inadequate amenities, High cost","Roommate matching service","Not very important"
"23-26","Undergraduate","Off-campus apartment/house","Less than $500","Safety, Roommate preferences, Proximity to campus, Amenities","Not aware","Likely","Definitely open","Barely meets my needs","High cost, Safety concerns","Price range options, Community events and networking opportunities, Roommate matching service, Safety ratings, Proximity to campus filter","Very important"
"18-22","Undergraduate","Living with family","$500 - $1000","Safety, Proximity to campus","Somewhat aware","Unlikely","Maybe open","Mostly meets my needs","Safety concerns, Distance from campus, High cost","Community events and networking opportunities, Roommate matching service","Somewhat important"
"18-22","Graduate","Living with family","$1001 - $1500","Safety","Not aware","Likely","Definitely open","Mostly meets my needs","Distance from campus","Community events and networking opportunities, Roommate matching service","Not very important"
"18-22","Undergraduate","Living with family","Over $1500","Proximity to campus, Amenities, Roommate preferences","Somewhat aware","Neutral","Not open","Does not meet my needs","High cost","Proximity to campus filter","Not important at all"
"18-22","Graduate","Living with family","Over $1500","Safety, Proximity to campus, Amenities, Roommate preferences","Very aware","Unlikely","Definitely open","Somewhat meets my needs","Inadequate amenities, Safety concerns, High cost","Safety ratings","Not very important"
"23-26","Graduate","Living with family","Over $1500","Amenities, Safety, Roommate preferences","Somewhat aware","Unlikely","Maybe open","Somewhat meets my needs","High cost, Safety concerns, Distance from campus","Safety ratings, Roommate matching service, Price range options, Community events and networking opportunities","Not important at all"
"23-26","Graduate","On-campus housing","Less than $500","Proximity to campus, Safety, Amenities, Roommate preferences","Somewhat aware","Very likely","Not open","Somewhat meets my needs","Inadequate amenities","Roommate matching service, Community events and networking opportunities, Safety ratings, Price range options","Not very important"
"18-22","Undergraduate","Off-campus apartment/house","Over $1500","Proximity to campus, Amenities, Roommate preferences, Safety","Neutral","Very unlikely","Not open","Does not meet my needs","High cost, Safety concerns, Distance from campus, Inadequate amenities","Safety ratings, Roommate matching service, Community events and networking opportunities","Somewhat important"
"18-22","Undergraduate","On-campus housing","$500 - $1000","Amenities, Roommate preferences, Proximity to campus, Safety","Very aware","Unlikely","Neutral","Barely meets my needs","Inadequate amenities, Safety concerns, High cost, Distance from campus","Roommate matching service","Somewhat important"
